customer_id,age,gender,tenure_months,monthly_spend,calls,sms,complaints,region,churn
C000000,56,M,0,26.88,10,30,0,south,1
C000001,69,M,2,26.48,10,16,1,south,1
C000002,46,F,15,20.44,12,18,0,west,0
C000003,32,F,22,22.54,8,11,0,north,0
C000004,60,M,10,31.57,10,13,0,south,0
C000005,25,F,26,25.78,12,22,0,north,0
C000006,78,M,14,27.6,7,26,0,north,0
C000007,38,F,1,21.74,12,17,0,north,0
C000008,56,F,4,25.12,9,22,0,south,1
C000009,75,F,36,46.58,10,22,0,west,0
C000010,36,F,25,19.87,7,22,0,east,0
C000011,40,M,45,23.39,12,19,0,west,0
C000012,28,M,2,15.33,11,18,0,north,0
C000013,28,F,92,84.02,19,18,0,west,1
C000014,41,M,4,42.22,9,19,0,west,0
C000015,70,M,0,38.31,9,19,1,west,1
C000016,53,M,119,77.57,11,25,0,east,0
C000017,57,M,6,5.18,11,17,0,west,0
C000018,41,F,22,7.57,9,28,0,east,0
C000019,20,M,3,15.36,10,26,0,south,0
C000020,39,F,17,26.52,10,16,0,west,0
C000021,70,M,46,56.01,12,27,0,north,0
C000022,19,M,7,32.18,9,11,0,south,0
C000023,41,M,22,33.27,11,17,0,east,0
C000024,61,M,4,13.1,8,20,0,east,0
C000025,47,M,19,19.89,6,21,0,west,0
C000026,55,F,8,26.54,12,13,0,east,0
C000027,19,M,4,28.97,14,28,0,west,0
C000028,77,F,7,27.42,9,25,0,north,0
C000029,38,M,3,11.15,9,21,0,north,0
C000030,50,M,46,49.51,15,20,0,south,0
C000031,29,F,10,29.26,14,22,0,east,0
C000032,75,M,5,11.79,7,18,0,north,1
C000033,39,M,11,17.66,9,22,0,east,0
C000034,78,M,7,30.38,9,16,0,north,0
C000035,61,M,27,31.15,4,13,0,south,0
C000036,42,F,70,70.89,13,21,0,west,0
C000037,66,M,11,30.51,12,22,0,west,0
C000038,44,F,39,34.63,6,15,1,east,0
C000039,76,F,16,27.9,9,27,0,north,0
C000040,59,M,3,22.13,9,16,0,south,1
C000041,45,F,23,24.22,8,21,0,south,1
C000042,77,M,14,17.87,7,23,0,west,0
C000043,33,F,21,37.51,6,18,1,north,0
C000044,32,M,44,50.45,16,20,0,south,0
C000045,79,F,11,31.54,16,13,0,north,0
C000046,79,M,46,58.15,8,15,0,east,0
C000047,64,M,27,28.08,12,25,0,south,0
C000048,79,F,13,43.24,16,21,0,east,0
C000049,68,F,18,19.99,12,21,0,west,0
C000050,61,M,7,13.37,6,33,0,west,0
C000051,72,M,82,43.4,10,16,0,north,0
C000052,69,F,22,26.54,7,22,0,east,0
C000053,74,F,0,14.96,9,13,0,west,0
C000054,20,F,7,28.76,6,15,0,west,0
C000055,54,F,19,31.94,12,30,0,south,0
C000056,68,F,1,8.57,11,23,0,south,0
C000057,24,F,0,16.07,15,24,0,south,0
